Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Protein Phosphorylation (GO:0006468),20/500,0.0013806927066823,0.0282898182712935,0,0,2.234243697478992,14.712874445080246,PRKCI;GMFB;CSNK1A1;PLK1;CDCA8;TTK;YWHAZ;AURKB;AURKA;RELN;MELK;ACVR1C;CHEK1;ERBB2;PBK;CDK1;BIRC5;MAPK1;NEK2;BMPR1A
GO_Biological_Process_2023,Phosphorylation (GO:0016310),18/429,0.0014004661725109,0.0283991439312267,0,0,2.343736656974971,15.400576661355071,PRKCI;GMFB;CSNK1A1;PLK1;CDCA8;YWHAZ;AURKB;AURKA;MELK;ACVR1C;CHEK1;ERBB2;PGK1;CDK1;BIRC5;MAPK1;NEK2;BMPR1A
GO_Biological_Process_2023,Regulation Of Trophoblast Cell Migration (GO:1901163),3/13,0.0016511907993843,0.0331417581876432,0,0,15.73235294117647,100.78552061608568,SYDE1;ACVR1C;AGO2
GO_Biological_Process_2023,Establishment Of Endothelial Barrier (GO:0061028),4/28,0.0017784488237033,0.0349820883622448,0,0,8.757372654155496,55.4518039896369,RAB1A;PDE2A;EZR;RAPGEF3
GO_Biological_Process_2023,Protein Depolymerization (GO:0051261),4/28,0.0017784488237033,0.0349820883622448,0,0,8.757372654155496,55.4518039896369,KIF18B;KIF14;KIF2C;CKAP5
GO_Biological_Process_2023,Chromatin Organization (GO:0006325),13/268,0.001815153493736,0.035350563585928,0,0,2.712605042016807,17.12083795949147,FOXA1;SUV39H2;KDM4B;ACTL6A;BAZ1A;DEK;NUDT5;ESR1;UCHL5;SFPQ;CHEK1;HNRNPC;EZH2
GO_Biological_Process_2023,Negative Regulation Of Gene Expression (GO:0010629),15/336,0.0018943665352795,0.0365315585774015,0,0,2.491609438735994,15.619577601943917,GRB7;SUV39H2;TYMS;ESR1;AURKA;CLDN5;SYNCRIP;SLC7A5;CHEK1;AGO2;CLDN19;PGR;MAPT;EZH2;BMPR1A
GO_Biological_Process_2023,Regulation Of Apoptotic Process (GO:0042981),25/705,0.0019773573623425,0.0377617663274552,0,0,1.9785051804812837,12.318161365271134,TOP2A;FOXA1;ARF4;MTCH2;KIF14;MIEN1;ACVR1C;CFL1;ERBB2;ECT2;SPDEF;PRKCI;STIL;WFS1;PLK1;ACTL6A;YWHAZ;MELK;AKT1S1;ANP32E;CDK1;BIRC5;IL6ST;MAD2L1;MCM2
GO_Biological_Process_2023,Establishment Of Mitotic Spindle Orientation (GO:0000132),4/29,0.0020326705051563,0.0384448354196403,0,0,8.406648793565683,52.1078124919097,PLK1;MAPRE1;NDC80;MAD2L1
GO_Biological_Process_2023,Polarized Epithelial Cell Differentiation (GO:0030859),3/14,0.0020723121337048,0.0388213139714044,0,0,14.301409820126398,88.36970301408223,RAB10;OPHN1;EZR
GO_Biological_Process_2023,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",10/180,0.0022603650318965,0.0419446982805701,0,0,3.117967623016509,18.995372649914547,PRPF4;SYNCRIP;HNRNPA2B1;SNRPG;CWF19L2;SRSF3;CDC5L;SRSF5;HNRNPC;LSM4
GO_Biological_Process_2023,"mRNA Splicing, Via Spliceosome (GO:0000398)",11/211,0.0022926751566358,0.0420888761869611,0,0,2.918756830601093,17.740308953141707,SYNCRIP;PRPF4;SFPQ;HNRNPA2B1;CWF19L2;SNRPG;SRSF3;CDC5L;HNRNPC;SRSF5;LSM4
GO_Biological_Process_2023,Mitotic G2 DNA Damage Checkpoint Signaling (GO:0007095),4/30,0.0023109296533766,0.0420888761869611,0,0,8.08290369148278,49.06407724883535,CHEK1;PLK1;DONSON;CDK1
GO_Biological_Process_2023,Regulation Of DNA Metabolic Process (GO:0051052),8/124,0.0024439095510996,0.0441024778625038,0,0,3.6458274927576864,21.92657619072245,CCNA2;ALYREF;ACTL6A;UBE2N;SMC6;BAZ1A;KPNA2;UCHL5
GO_Biological_Process_2023,"Negative Regulation Of Gene Expression, Epigenetic (GO:0045814)",5/51,0.0026728937520372,0.0477962000932477,0,0,5.720254791958859,33.890184880461966,SUV39H2;UHRF1;CHEK1;LMNB1;EZH2
GO_Biological_Process_2023,Regulation Of Metaphase/Anaphase Transition Of Cell Cycle (GO:1902099),4/32,0.0029439671749734,0.0521692201186731,0,0,7.504787437763309,43.73788038388539,CENPE;UBE2C;ACTL6A;PLK1
GO_Biological_Process_2023,Centromeric Sister Chromatid Cohesion (GO:0070601),2/5,0.0034128650992728,0.0588868916690324,0,0,34.88,198.12548536261417,BUB1B;BUB1
GO_Biological_Process_2023,Maintenance Of DNA Repeat Elements (GO:0043570),2/5,0.0034128650992728,0.0588868916690324,0,0,34.88,198.12548536261417,MSH6;MSH2
GO_Biological_Process_2023,Positive Regulation Of Mitotic Cytokinesis (GO:1903490),2/5,0.0034128650992728,0.0588868916690324,0,0,34.88,198.12548536261417,BIRC5;CDCA8
GO_Biological_Process_2023,Microtubule Polymerization (GO:0046785),4/34,0.0036862090796797,0.0629522616637641,0,0,7.003753351206434,39.24312750582265,TPX2;RANBP9;MAPT;CKAP5
GO_Biological_Process_2023,Negative Regulation Of Ubiquitin-Protein Transferase Activity (GO:0051444),3/17,0.0037124872155549,0.0629522616637641,0,0,11.235103132161957,62.87223504269866,CDC20;BUB1B;MAD2L1
GO_Biological_Process_2023,Establishment Of Spindle Orientation (GO:0051294),4/35,0.0041009024841954,0.067785505768172,0,0,6.777479892761394,37.25274498234256,PLK1;MAPRE1;NDC80;MAD2L1
GO_Biological_Process_2023,Positive Regulation Of Telomere Maintenance Via Telomere Lengthening (GO:1904358),4/35,0.0041009024841954,0.067785505768172,0,0,6.777479892761394,37.25274498234256,HNRNPA2B1;MAPK1;NEK2;AURKB
GO_Biological_Process_2023,Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010389),4/35,0.0041009024841954,0.067785505768172,0,0,6.777479892761394,37.25274498234256,CCNB1;CENPF;KIF14;CDK1
GO_Biological_Process_2023,Regulation Of Intracellular Signal Transduction (GO:1902531),13/297,0.0043782626733473,0.0702572543162859,0,0,2.431966800804829,13.208262876486623,ARHGEF15;PDE2A;AURKB;AURKA;FGD3;RACGAP1;CHEK1;UBE2N;MAPT;EZR;ECT2;FAM83D;RAPGEF3
